resource,region,SeasonalNaive_RMSE,SeasonalNaive_MAE,SeasonalNaive_MASE,SARIMA_RMSE,SARIMA_MASE,SARIMA_skill,xLSTM_RMSE,xLSTM_MASE,xLSTM_skill,TimesFM_RMSE,TimesFM_MASE,TimesFM_skill,Nexus_RMSE,Nexus_MASE,Nexus_skill
electricity,AUT,591.5657190879133,518.3333333333334,0.8864457678017,708.3636384716317,0.9768838564564292,-0.19743862028347348,511.65636161446747,0.7242609270050876,0.1350811159183658,423.902955827546,0.5942679802418944,0.2834220406126182,418.89934884936355,0.5892943459879371,0.291880284247657
electricity,BEL,697.3103087339715,559.1666666666666,0.6581196581196581,507.15302089433885,0.535093939266779,0.27270109943574483,1116.376518350147,1.1587733252970165,-0.6009752105587358,717.3515481630928,0.6855941500937018,-0.028740776062106344,616.8031672356365,0.5241655022352704,0.11545382377108815
electricity,BGR,301.37186331839274,264.1666666666667,0.6076538645854728,222.96143258661786,0.4757874703423083,0.2601783387088661,357.6893934257854,0.6555432890151466,-0.18687056411730918,445.33369716901353,0.8416219334587014,-0.4776883689985627,316.6448983818298,0.5659942378333163,-0.05067837088461524
electricity,BIH,126.72147936846908,102.5,0.6592964824120603,117.24933736903132,0.595350177817469,0.07474772269581487,184.37794512195674,0.9949089085436743,-0.4549857375468249,119.47709686565857,0.6361788761515913,0.05716775513443906,124.72012067812769,0.6633839444618927,0.01579336589436442
electricity,CHE,1311.7799612231718,1016.6666666666666,1.637983644574637,1241.804387361759,1.8246556651098704,0.05334398750546854,827.9291449866155,1.1524464013476696,0.36885059273613896,505.7335556733257,0.7136712492276182,0.6144676922783959,474.9875226575484,0.6815384989472721,0.6379060995758424
electricity,CYP,34.76108935769035,27.5,0.8924528301886793,26.737876349615295,0.7211221782052181,0.23081017184232877,66.6188974534138,1.7752232502841347,-0.9164789908598017,29.86140282724009,0.8285187343381486,0.1409531928079889,24.445087868766464,0.6778838938587113,0.2967686479204551
electricity,CZE,352.64476932649,300.8333333333333,0.6714494486515211,324.4921614517796,0.6148744804437318,0.07983276748575785,449.1963394662721,0.836034239502531,-0.2737927187299112,505.26706147384164,0.9090788785372659,-0.4327932963215142,390.99900128451145,0.6923053699390528,-0.10876166412810684
electricity,DEU,2307.4571140832354,2012.5,0.8093938523412813,4049.8650156240024,1.5252668342187437,-0.7551203837792819,4555.251572752877,1.4293349128989528,-0.9741435474360709,2370.711593637041,0.798155238556928,-0.02741306833732282,2577.4949103864164,0.9364598108481758,-0.11702830559885324
electricity,DNK,357.94552658190884,269.1666666666667,0.9591685226429102,554.9906062051218,1.7924511524271662,-0.5504890129647229,256.7967208140486,0.6544477795350968,0.28258156131674494,294.7237202631824,0.9214744063775985,0.1766240995451005,353.90074671120453,1.0926726637899036,0.011299987205675377
electricity,ESP,980.0595220019377,716.6666666666666,0.601293480160811,1051.9431011827933,0.6767815823934299,-0.07334613619591313,1547.480997877752,1.0134406447348074,-0.5789663414695057,965.0810962642071,0.5792888863398007,0.015283179645185885,925.8116758892231,0.5863661564848802,0.05535158313844468
electricity,EST,72.2841614740048,62.5,0.37899296155928536,154.59451207268003,0.9014045267286867,-1.1387052006998255,172.6767402198236,0.9734115517972028,-1.3888599756659348,126.91565469145415,0.6777136223859638,-0.7557878808222214,168.0041148064552,0.9570868590746819,-1.3242175240128322
electricity,FIN,480.2863729068315,385.8333333333333,0.9577809120827456,434.07304992845735,0.8121403551172399,0.09622035016042163,615.7406679202961,1.0733165931466269,-0.282028187045275,456.63188001251217,0.8460232740508934,0.04925080999312037,496.777815940677,0.9529907146215327,-0.03433668736848494
electricity,FRA,1896.4550262705063,1555.8333333333333,0.522263849343124,1882.16513005971,0.5330967677731909,0.007535056731030609,3162.3751459855966,0.9446025196134796,-0.6675191882639047,3546.0685069119704,1.0712047305060193,-0.869840548702876,3533.391804431452,1.051316062240871,-0.8631561284003033
electricity,GBR,1197.4417174404214,1076.6666666666665,0.8750211644050986,1828.308650501645,1.3472886817061,-0.5268456275347801,1343.378342699671,0.8753313990770508,-0.12187367713494646,1478.9646766436647,1.090500470152142,-0.23510368404819704,1444.579427055019,1.0627094898168976,-0.2063880905559765
electricity,GRC,516.9622810225133,376.6666666666667,0.8128452151573539,365.8342606134562,0.5763967905881667,0.2923385824399741,713.7628376900459,1.2876185746091866,-0.380686490856307,487.59030928334766,0.7917970694344091,0.056816469629215494,608.2692432026639,1.0343074622671804,-0.1766220970697363
