a,b,rho,connected,dist_km
Albany River,Bravo,0.16544352406129526,False,1941.1968396044103
Albany River,Brazos River,0.413225305512769,False,1594.8951812104667
Albany River,Colorado River (Pacific Ocean),0.5078936464175376,False,2190.769703112831
Albany River,Columbia River,0.6224311801237542,False,2328.812077133041
Albany River,Danube,0.5040120001057944,False,7927.759620330457
Albany River,Dniepr,0.5603802552415449,False,8620.993624925362
Albany River,Elbe River,0.45925593802464254,False,6644.479841129402
Albany River,Ganges,-0.5014011458539307,False,11692.044770645767
Albany River,Godavari,-0.45950908887106057,False,12667.611756722212
Albany River,Grisalva,-0.35053835487214624,False,2425.8759206285013
Albany River,Indus,0.06007357747486439,False,12143.58929021951
Albany River,Krishna,-0.48326118744119906,False,12982.91374210035
Albany River,Loire,0.4954955522277904,False,6505.373232630306
Albany River,Mahanadi River (Mahahadi),-0.482230951658264,False,12510.890120191218
Albany River,Mississippi River,0.5761247265404104,True,909.3115891660796
Albany River,Nelson River,0.4645506950313164,True,474.4142406577017
Albany River,Neva,0.5458612355524545,False,6855.043032332238
Albany River,Oder River,0.45968919121453206,False,7111.815655596815
Albany River,Rhine,0.488263750436087,False,6763.6166225667275
Albany River,Senegal,-0.3543847363893636,False,6725.0128917894535
Albany River,St.Lawrence,0.6748585944712359,False,1394.2260983672209
Albany River,Tigris & Euphrates,0.53517978118195,False,9517.821750988884
Albany River,Wisla,0.4264785709697692,False,7401.924237347039
Bravo,Brazos River,0.45072437666327037,True,541.4455909836486
Bravo,Colorado River (Pacific Ocean),0.3019384301876717,True,1354.8266815725378
Bravo,Columbia River,0.020578267062807857,False,2204.796404667335
Bravo,Danube,0.19586822553851232,False,9819.81360069373
Bravo,Dniepr,0.16643849504970445,False,10546.784088549071
Bravo,Elbe River,0.2042788790329386,False,8565.99821546095
Bravo,Ganges,0.04159986297108413,False,13483.609483634313
Bravo,Godavari,0.0609413433115909,False,14522.623929484313
Bravo,Grisalva,0.11184355529582755,False,2214.568714822478
Bravo,Indus,-0.0019055583613457549,False,13985.454465608713
Bravo,Krishna,0.047349283935752585,False,14808.08637688607
Bravo,Loire,0.15377843381490766,False,8345.92686994093
Bravo,Mahanadi River (Mahahadi),0.05315538046305194,False,14130.270969029458
Bravo,Mississippi River,0.1760670434122215,False,1647.219623848336
Bravo,Nelson River,-0.06865299820023602,False,1882.1343083842905
Bravo,Neva,0.09588875468675416,False,8796.236034322701
Bravo,Oder River,0.2068506901194343,False,9026.818581210198
Bravo,Rhine,0.148890481402229,False,8646.974651063834
Bravo,Senegal,0.10284851377782929,False,8118.424023918267
Bravo,St.Lawrence,0.06446026602249642,False,2569.5801421962074
Bravo,Tigris & Euphrates,0.06138845052790138,False,11424.774051080654
Bravo,Wisla,0.1922384706162397,False,9332.259916178495
Brazos River,Colorado River (Pacific Ocean),0.3921986717767033,False,1727.266912422559
Brazos River,Columbia River,0.4618176734555594,False,2464.430138233946
Brazos River,Danube,0.4608655240033602,False,9357.441919696888
Brazos River,Dniepr,0.49581293537852344,False,10112.423483578712
Brazos River,Elbe River,0.395244038675404,False,8131.190089700349
Brazos River,Ganges,-0.446422071731111,False,13271.476995773797
Brazos River,Godavari,-0.47800547359989315,False,14261.46844685141
Brazos River,Grisalva,-0.2934534687333516,False,1754.8122233764677
Brazos River,Indus,-0.04454573277094382,False,13735.374687146954
Brazos River,Krishna,-0.4389131894109898,False,14572.591872490393
Brazos River,Loire,0.421011268361308,False,7862.56438913039
Brazos River,Mahanadi River (Mahahadi),-0.4645129113228958,False,14024.546389248331
Brazos River,Mississippi River,0.6787616515510841,True,1135.4537893013994
Brazos River,Nelson River,0.38266332322829044,False,1660.9439962586637
Brazos River,Neva,0.4296209160534161,False,8408.108696396199
Brazos River,Oder River,0.40838899083493185,False,8584.125230482798
Brazos River,Rhine,0.4010388000901771,False,8182.471176873447
Brazos River,Senegal,-0.431512620388341,False,7577.384654768251
Brazos River,St.Lawrence,0.4758555805907609,False,2040.4619324264493
Brazos River,Tigris & Euphrates,0.4591904462633801,False,10969.170284388587
Brazos River,Wisla,0.4425933226111565,False,8907.217676625667
Colorado River (Pacific Ocean),Columbia River,0.623356880980059,True,932.1689687948433
Colorado River (Pacific Ocean),Danube,0.5458070789037183,False,9929.202935297411
Colorado River (Pacific Ocean),Dniepr,0.5615880744540569,False,10511.767462075886
Colorado River (Pacific Ocean),Elbe River,0.4371726199097473,False,8588.810197156869
Colorado River (Pacific Ocean),Ganges,-0.40529828348612645,False,12701.366692249701
Colorado River (Pacific Ocean),Godavari,-0.43899253519867304,False,13817.491754439372
Colorado River (Pacific Ocean),Grisalva,-0.45893855487390944,False,3480.3206113357
Colorado River (Pacific Ocean),Indus,0.20941116609340388,False,13273.068683637819
Colorado River (Pacific Ocean),Krishna,-0.5052475273711481,False,14033.980821202049
Colorado River (Pacific Ocean),Loire,0.4355302880503984,False,8600.55610896226
Colorado River (Pacific Ocean),Mahanadi River (Mahahadi),-0.41232479379541126,False,13130.213111318684
Colorado River (Pacific Ocean),Mississippi River,0.6042080975524973,True,2457.715616900123
Colorado River (Pacific Ocean),Nelson River,0.39387626843057805,False,1837.8286292870278
Colorado River (Pacific Ocean),Neva,0.4764437469851749,False,8634.676479536847
Colorado River (Pacific Ocean),Oder River,0.4595116077849553,False,9069.50519669992
Colorado River (Pacific Ocean),Rhine,0.4539246567664954,False,8798.600226731367
Colorado River (Pacific Ocean),Senegal,-0.3752010408152213,False,8893.623102331056
Colorado River (Pacific Ocean),St.Lawrence,0.5041077188337932,False,3358.0668235194466
Colorado River (Pacific Ocean),Tigris & Euphrates,0.5549079148052942,False,11458.080552222189
Colorado River (Pacific Ocean),Wisla,0.5025686624441273,False,9293.318371399857
Columbia River,Danube,0.734196649088846,False,9515.51808540758
Columbia River,Dniepr,0.7702939446569428,False,9998.960655619456
Columbia River,Elbe River,0.5597794942776574,False,8152.203655699373
Columbia River,Ganges,-0.6728913227194698,False,11827.93364568396
Columbia River,Godavari,-0.718357718518929,False,12956.852158028882
Columbia River,Grisalva,-0.6088139316089688,False,4156.185731628728
Columbia River,Indus,0.049898424797195945,False,12415.337131568594
Columbia River,Krishna,-0.7410367597699224,False,13152.861404199011
Columbia River,Loire,0.6509503232396255,False,8312.644945649658
Columbia River,Mahanadi River (Mahahadi),-0.6782805389971951,False,12208.15455846973
Columbia River,Mississippi River,0.765330424827423,False,2893.1277525667656
Columbia River,Nelson River,0.6914922423749328,False,1871.150524897628
Columbia River,Neva,0.6680323378165803,False,8087.527563755151
Columbia River,Oder River,0.5742582113444324,False,8634.009451069334
Columbia River,Rhine,0.6306176502815516,False,8438.077418906905
Columbia River,Senegal,-0.6477336701960847,False,8982.993377309574
Columbia River,St.Lawrence,0.7042580979933073,False,3681.039664200587
Columbia River,Tigris & Euphrates,0.7822764180540634,False,10964.91025602761
Columbia River,Wisla,0.6158668905141481,False,8803.612248837553
Danube,Dniepr,0.8203699528837156,True,946.7911772405646
Danube,Elbe River,0.7304548024982588,False,1365.9033784210105
Danube,Ganges,-0.5384644449006477,False,5352.936627853043
Danube,Godavari,-0.5750831556449489,False,5691.830346476997
Danube,Grisalva,-0.4303539199967758,False,8717.542627885803
Danube,Indus,0.06667187242204906,False,5372.288677566995
Danube,Krishna,-0.5772582377930284,False,6086.040593470995
Danube,Loire,0.7101611727055529,False,1566.2367663255077
Danube,Mahanadi River (Mahahadi),-0.49884822662164524,False,6650.249387592432
Danube,Mississippi River,0.6249223859656193,False,8234.534262264246
Danube,Nelson River,0.5344152908149064,False,8150.127385074354
Danube,Neva,0.6067257519902569,False,1723.18397630544
Danube,Oder River,0.7507799187146487,True,888.1948024445046
Danube,Rhine,0.7172771044580998,True,1175.170106656069
Danube,Senegal,-0.5027412080459148,False,3607.8935775198406
Danube,St.Lawrence,0.5827545079112788,False,7420.701325070263
Danube,Tigris & Euphrates,0.6681066457764742,False,1615.6843451733437
Danube,Wisla,0.8006279652339504,False,897.7384632060347
Dniepr,Elbe River,0.6478142754407155,False,1981.6781283515365
Dniepr,Ganges,-0.5528902647756341,False,4408.618078035429
Dniepr,Godavari,-0.6044662862267047,False,4758.551242561482
Dniepr,Grisalva,-0.5612719507602713,False,9594.467815756976
Dniepr,Indus,0.13652135472227087,False,4427.984568623496
Dniepr,Krishna,-0.6516984406663535,False,5152.498742705819
Dniepr,Loire,0.6106363658117894,False,2475.659257402686
Dniepr,Mahanadi River (Mahahadi),-0.5452932204691981,False,5706.739617663461
Dniepr,Mississippi River,0.6589906963915299,False,9008.79706764061
Dniepr,Nelson River,0.508935217312999,False,8796.650492902356
Dniepr,Neva,0.7737851593150066,False,1918.7008422685592
Dniepr,Oder River,0.6868045436168833,False,1533.661259433293
Dniepr,Rhine,0.6545624457646352,False,2017.0978542522373
Dniepr,Senegal,-0.5136052836737856,False,4506.606272193962
Dniepr,St.Lawrence,0.562703953309412,False,8236.851633404554
Dniepr,Tigris & Euphrates,0.754347960246501,False,970.9644024447502
Dniepr,Wisla,0.7757259824708782,False,1223.552476253468
Elbe River,Ganges,-0.29409201340565977,False,5990.182122464889
Elbe River,Godavari,-0.37476149034059497,False,6562.731010702015
Elbe River,Grisalva,-0.3505899926069877,False,7696.4924040483465
Elbe River,Indus,0.19225610301350263,False,6157.161492435591
Elbe River,Krishna,-0.3803572575576863,False,6948.941026390525
Elbe River,Loire,0.6322524253992163,False,1074.698745817215
Elbe River,Mahanadi River (Mahahadi),-0.30161978757999125,False,7238.856111221026
Elbe River,Mississippi River,0.4686666003352674,False,7031.39257897989
Elbe River,Nelson River,0.38578047917299024,False,6836.040962405427
Elbe River,Neva,0.5976375106581545,True,861.8628720818396
Elbe River,Oder River,0.9105785567379058,True,482.38229758756285
Elbe River,Rhine,0.8055209554744185,True,612.3038491002701
Elbe River,Senegal,-0.354931340704515,False,3677.1773081239858
Elbe River,St.Lawrence,0.4207455229454164,False,6279.991977183695
Elbe River,Tigris & Euphrates,0.5979750451200452,False,2880.9815788438464
Elbe River,Wisla,0.7216134147278376,False,793.3258161885476
Ganges,Godavari,0.8334746024209282,False,1143.3609567937715
Ganges,Grisalva,0.47076359615261093,False,13492.77925901406
Ganges,Indus,0.3219826875048017,False,638.0595277252118
Ganges,Krishna,0.6960741467494046,False,1336.5069935766685
Ganges,Loire,-0.5013822539997204,False,6804.4827861631775
Ganges,Mahanadi River (Mahahadi),0.9021540492170586,False,1298.8362824550293
Ganges,Mississippi River,-0.6405585439670122,False,12413.090089992358
Ganges,Nelson River,-0.5415324820244007,False,11626.115845605893
Ganges,Neva,-0.48413147219182034,False,5362.050301710659
Ganges,Oder River,-0.3118893995287112,False,5698.528202563982
Ganges,Rhine,-0.37426022647554824,False,6286.090278513008
Ganges,Senegal,0.7282331204431274,False,8855.150482315918
Ganges,St.Lawrence,-0.6083328190550797,False,11922.573701206426
Ganges,Tigris & Euphrates,-0.5098395074011988,False,4152.489623473492
Ganges,Wisla,-0.3436176389464391,False,5244.4497642737215
Godavari,Grisalva,0.5814106673484527,False,14240.842606727505
Godavari,Indus,0.1699674934161888,False,545.1260362853651
Godavari,Krishna,0.8978933063641619,True,394.21259568099026
Godavari,Loire,-0.5219693372611597,False,7232.5270834851535
Godavari,Mahanadi River (Mahahadi),0.8966363683307031,False,1569.3069621336583
Godavari,Mississippi River,-0.7141120891494006,False,13323.575569279681
Godavari,Nelson River,-0.6136175004061748,False,12645.522758096306
Godavari,Neva,-0.5386949255220134,False,6054.07497220571
Godavari,Oder River,-0.38184215729861604,False,6202.613361592874
Godavari,Rhine,-0.435400563984821,False,6752.317983640624
Godavari,Senegal,0.7159080747563265,False,8954.70631336355
Godavari,St.Lawrence,-0.628487908583577,False,12734.845920088168
Godavari,Tigris & Euphrates,-0.6651267706390358,False,4256.07122001594
Godavari,Wisla,-0.4206535825882596,False,5778.422345845853
Grisalva,Indus,-0.2582226795450338,False,13792.824784349705
Grisalva,Krishna,0.6889040583481214,False,14617.179521869684
Grisalva,Loire,-0.3083755146455951,False,7152.440926148568
Grisalva,Mahanadi River (Mahahadi),0.5337742272287035,False,14546.014091522964
Grisalva,Mississippi River,-0.537121863794769,True,1517.9762844650102
Grisalva,Nelson River,-0.408503601417141,False,2789.4117433626984
Grisalva,Neva,-0.5140876556846219,False,8190.395933641885
Grisalva,Oder River,-0.36041249733939723,False,8086.555304143677
Grisalva,Rhine,-0.4153940903761116,False,7578.19131286641
Grisalva,Senegal,0.5219491859500021,False,6251.183017973284
Grisalva,St.Lawrence,-0.44638050965184833,False,1601.5213379283055
Grisalva,Tigris & Euphrates,-0.6450925889774847,False,10305.176251296218
Grisalva,Wisla,-0.38485855668752744,False,8487.978572171396
Indus,Krishna,-0.0284272027587145,False,844.3744377918092
Indus,Loire,-0.049392123104359864,False,6884.941470902192
Indus,Mahanadi River (Mahahadi),0.20417938193409765,False,1482.9631133564963
Indus,Mississippi River,-0.013001374067529563,False,12818.602683140425
Indus,Nelson River,-0.0706038970116865,False,12111.182497612454
Indus,Neva,0.17846756835387717,False,5604.534577172693
Indus,Oder River,0.1860243100379978,False,5820.969548411748
Indus,Rhine,0.09370989416783271,False,6387.693181452313
Indus,Senegal,0.15314618642733624,False,8753.39297174014
Indus,St.Lawrence,-0.02474203173075833,False,12260.372816131128
Indus,Tigris & Euphrates,0.26752502855818633,False,4024.8113624143652
Indus,Wisla,0.16784027063210885,False,5383.505206636835
Krishna,Loire,-0.48209996813573924,False,7626.140716650076
Krishna,Mahanadi River (Mahahadi),0.7788343222169465,False,1388.8650042550717
Krishna,Mississippi River,-0.6997202746119928,False,13662.972636965613
Krishna,Nelson River,-0.6073932641723541,False,12940.354349542107
Krishna,Neva,-0.5535338472757316,False,6427.113931417356
Krishna,Oder River,-0.39313948611637634,False,6592.818261048022
Krishna,Rhine,-0.44468905897155264,False,7144.635098578507
Krishna,Senegal,0.6187787549764292,False,9335.150498856849
Krishna,St.Lawrence,-0.6078126633358228,False,13097.757469491298
Krishna,Tigris & Euphrates,-0.7495972886410838,False,4645.415218482623
Krishna,Wisla,-0.4656867251978292,False,6166.370393934881
Loire,Mahanadi River (Mahahadi),-0.47012379202335536,False,8087.01579300501
Loire,Mississippi River,0.5418926867113438,False,6730.221145873827
Loire,Nelson River,0.43212723537864944,False,6776.890757532594
Loire,Neva,0.50778785203396,False,1936.3457168652205
Loire,Oder River,0.5778010637373379,False,1143.0681340633266
Loire,Rhine,0.8141117113123163,True,540.6983907282867
Loire,Senegal,-0.4835987219030898,True,2603.0988327621003
Loire,St.Lawrence,0.5557593077017051,False,5887.21261866506
Loire,Tigris & Euphrates,0.5950153212937644,False,3161.174919866468
Loire,Wisla,0.5451168964965686,False,1607.514921141191
Mahanadi River (Mahahadi),Mississippi River,-0.6791722345159215,False,13313.294426122951
Mahanadi River (Mahahadi),Nelson River,-0.5934498163082041,False,12365.562920635259
Mahanadi River (Mahahadi),Neva,-0.4673630623947566,False,6565.564597274904
Mahanadi River (Mahahadi),Oder River,-0.30454676552564064,False,6969.878263781659
Mahanadi River (Mahahadi),Rhine,-0.35343762476495383,False,7563.084162794493
Mahanadi River (Mahahadi),Senegal,0.7624576035305097,False,10147.308591560433
Mahanadi River (Mahahadi),St.Lawrence,-0.622291380402598,False,12947.117205764387
Mahanadi River (Mahahadi),Tigris & Euphrates,-0.5839056515611598,False,5430.68567329335
Mahanadi River (Mahahadi),Wisla,-0.32653310545558967,False,6511.0918234901865
Mississippi River,Nelson River,0.6784316738308777,True,1285.4829265397086
Mississippi River,Neva,0.5554507407496035,False,7356.542646813462
Mississippi River,Oder River,0.48760127608177906,False,7476.499863453872
Mississippi River,Rhine,0.49340611315213107,False,7059.412829331662
Mississippi River,Senegal,-0.6944444094595292,False,6522.216779153966
Mississippi River,St.Lawrence,0.7868835115674824,True,937.7485632881053
Mississippi River,Tigris & Euphrates,0.6556430598254644,False,9848.783926822238
Mississippi River,Wisla,0.5330991583049222,False,7814.557550690815
Nelson River,Neva,0.46018289833789466,False,6979.22971029192
Nelson River,Oder River,0.4218210991784562,False,7311.135193491286
Nelson River,Rhine,0.3889807592762153,False,7000.287239193055
Nelson River,Senegal,-0.567710294675142,False,7142.189314989669
Nelson River,St.Lawrence,0.5896109915326709,False,1867.8353272973782
