a,b,rho,connected,dist_km
AUT,BEL,0.07919430204058862,False,863.3638326955485
AUT,BGR,-0.012376556963153495,False,833.3598753443669
AUT,BIH,0.2540094785197995,False,442.17896544763624
AUT,CHE,0.4041370651167847,False,567.7250834292248
AUT,CYP,-0.27291789994499227,False,2060.029894490617
AUT,CZE,0.09368842034586104,False,219.72368780213966
AUT,DEU,0.04486365018659648,False,525.5756943310917
AUT,DNK,0.07893107218905913,False,951.4178149010254
AUT,ESP,0.1699279385362767,False,1600.9413226462875
AUT,EST,0.18544883282111901,False,1433.9590687950044
AUT,FIN,0.2536988929810497,False,1609.297636716906
AUT,FRA,0.3006625656694494,False,967.5071830369072
AUT,GBR,0.21554911723911543,False,1281.429366352711
AUT,GRC,0.0020689443894245396,False,1373.165739060867
AUT,HRV,0.35231244152919977,False,231.60795623830992
AUT,HUN,0.15296299595996873,False,303.19794227048607
AUT,IND|delhi,0.23345670585346734,False,5615.3952001585385
AUT,IND|gujarat,0.17103709189804284,False,5700.284057734716
AUT,IND|karnataka,0.045077915769322525,False,6873.156483204976
AUT,IND|kerala,-0.04416795784230204,False,7061.41467940818
AUT,IND|maharashtra,0.27491228910561216,False,6057.226944201494
AUT,IND|odisha,-0.07074922882584277,False,6896.987503251381
AUT,IND|rajasthan,0.13185640346344923,False,5645.574444671235
AUT,IND|tamil nadu,0.08159872718647164,False,7058.845038080361
AUT,IND|telangana,0.09864293912720151,False,6579.738987518098
AUT,IND|uttar pradesh,0.22286969535640205,False,5639.836528229118
AUT,IND|west bengal,0.05046766656782847,False,6910.19367663688
AUT,IRL,0.011771252705609598,False,1657.4387912909463
AUT,ITA,0.12242529337593772,False,555.9932539424454
AUT,LTU,0.09889228020149836,False,1007.5649068795849
AUT,LUX,0.17653178972875055,False,712.5368959568897
AUT,LVA,0.11699639816691061,False,1172.4311390696078
AUT,MDA,-0.27669497116075925,False,1007.9493522607316
AUT,MKD,-0.014781270402424435,False,801.9617466720708
AUT,MLT,-0.1768648820255162,False,1334.173536917243
AUT,NLD,0.06260592764196023,False,874.7772482214137
AUT,NOR,0.12225488520975197,False,1421.224978961512
AUT,POL,0.10967861598002956,False,560.6260353564127
AUT,PRT,0.15048828654286225,False,2168.2407180908617
