a,b,rho,connected,dist_km
AUT,BEL,0.32076627261073926,False,863.3638326955485
AUT,BGR,0.2532331576698476,False,833.3598753443669
AUT,BIH,-0.08189134808853119,False,442.17896544763624
AUT,CHE,0.3154649421493573,False,567.7250834292248
AUT,CYP,0.05571925503583441,False,2060.029894490617
AUT,CZE,0.5236647201253384,False,219.72368780213966
AUT,DEU,0.358033043725965,False,525.5756943310917
AUT,DNK,0.15241418601338844,False,951.4178149010254
AUT,ESP,0.16528984475145994,False,1600.9413226462875
AUT,EST,-0.031997151378843805,False,1433.9590687950044
AUT,FIN,0.4039893617021276,False,1609.297636716906
AUT,FRA,0.5750249252243271,False,967.5071830369072
AUT,GBR,0.2964819826235579,False,1281.429366352711
AUT,GRC,0.16549636803874093,False,1373.165739060867
AUT,HRV,0.04913499260402599,False,231.60795623830992
AUT,HUN,0.2263495228599915,False,303.19794227048607
AUT,IND|delhi,0.07042315128562089,False,5615.3952001585385
AUT,IND|gujarat,0.1341789869652699,False,5700.284057734716
AUT,IND|karnataka,-0.024757239086694076,False,6873.156483204976
AUT,IND|kerala,0.023690380379452886,False,7061.41467940818
AUT,IND|maharashtra,0.17533024232350627,False,6057.226944201494
AUT,IND|odisha,0.06529669580072973,False,6896.987503251381
AUT,IND|rajasthan,0.27992301635902367,False,5645.574444671235
AUT,IND|tamil nadu,-0.059574840346426385,False,7058.845038080361
AUT,IND|telangana,-0.18442830898434084,False,6579.738987518098
AUT,IND|uttar pradesh,-0.16066835797393053,False,5639.836528229118
AUT,IND|west bengal,0.0353602953411776,False,6910.19367663688
AUT,IRL,-0.12585101837345108,False,1657.4387912909463
AUT,ITA,0.568076784609515,False,555.9932539424454
AUT,LTU,-0.08005740005654739,False,1007.5649068795849
AUT,LUX,0.17518433300862038,False,712.5368959568897
AUT,LVA,0.117461900014243,False,1172.4311390696078
AUT,MDA,-0.2014274455783012,False,1007.9493522607316
AUT,MKD,-0.11455931209693178,False,801.9617466720708
AUT,MLT,0.12909015083549394,False,1334.173536917243
AUT,NLD,0.3240564022219058,False,874.7772482214137
AUT,NOR,-0.23173625937174877,False,1421.224978961512
AUT,POL,0.10009970089730809,False,560.6260353564127
AUT,PRT,-0.07686939182452643,False,2168.2407180908617
AUT,ROU,0.36236291126620146,False,838.2141138302013
AUT,SRB,0.3288353863381859,False,548.4402347844509
AUT,SVK,0.4832582311256611,False,214.15724195133174
AUT,SVN,0.3227237994474813,False,220.228180611536
AUT,SWE,0.33084018639747886,False,1219.9543152091226
AUT,TUR,0.24216027874564458,False,1374.2562152832886
AUT,USA|alabama,-0.10176613018088593,False,8132.9059356215685
AUT,USA|arizona,-0.07942258834685062,False,9575.948682596838
AUT,USA|arkansas,-0.009756444950861701,False,8343.724314517334
AUT,USA|california,0.3787637088733799,False,9704.624713139043
AUT,USA|colorado,-0.0074419598347813705,False,8652.40399191759
AUT,USA|connecticut,0.07788064378293692,False,6650.208719860761
AUT,USA|delaware,-0.053770926098443896,False,6938.066908167136
AUT,USA|florida,-0.15356786782509618,False,8258.645717463867
AUT,USA|georgia,-0.22154251531120925,False,7955.842944538859
AUT,USA|idaho,0.19769975786924943,False,8732.703370757547
AUT,USA|illinois,-0.05553339980059821,False,7535.526344886856
AUT,USA|indiana,-0.19366899302093724,False,7554.8362910818705
AUT,USA|iowa,-0.13298675402364335,False,7858.810865247738
AUT,USA|kansas,-0.13839908844893892,False,8164.914663856011
