site_id,assign_km,g3p_basin
267,507.8234207554929,Loire
268,593.3636662213252,St.Lawrence
269,549.5334063321186,St.Lawrence
270,659.3796359000892,Mississippi River
271,512.2875167156623,St.Lawrence
272,659.3796359000892,Mississippi River
273,957.1400666700274,Columbia River
275,957.1879936921584,Columbia River
278,671.816272060553,Colorado River (Pacific Ocean)
280,1020.7750283481491,Mississippi River
281,659.3796359000892,Mississippi River
282,694.0240709118161,Colorado River (Pacific Ocean)
283,535.5683305336096,Loire
286,659.3796359000892,Mississippi River
289,744.1701125595413,St.Lawrence
291,659.3796359000892,Mississippi River
292,1020.7750283481491,Mississippi River
293,672.9897683822762,Colorado River (Pacific Ocean)
294,511.8713544438755,Columbia River
300,828.1160682368115,St.Lawrence
301,674.9132206157805,Colorado River (Pacific Ocean)
302,778.7413436444692,Mississippi River
305,535.5683305336096,Loire
306,695.3514779834611,Mississippi River
308,549.0341956029961,St.Lawrence
309,663.5953130130579,Mississippi River
310,694.0240709118161,Colorado River (Pacific Ocean)
311,942.3638089465843,Mississippi River
312,747.1042576582638,St.Lawrence
313,593.3636662213252,St.Lawrence
315,830.7419507312048,St.Lawrence
316,659.3796359000892,Mississippi River
317,659.3796359000892,Mississippi River
321,671.0909147027967,Colorado River (Pacific Ocean)
329,671.4009531987037,Colorado River (Pacific Ocean)
330,535.5683305336096,Loire
331,1345.232376536862,Mississippi River
333,672.9897683822762,Colorado River (Pacific Ocean)
334,672.9897683822762,Colorado River (Pacific Ocean)
337,757.9950031663583,St.Lawrence
338,512.2875167156623,St.Lawrence
339,659.3796359000892,Mississippi River
340,849.3701975768821,Mississippi River
342,766.6510403020096,St.Lawrence
343,766.7171113247676,St.Lawrence
347,893.3902601324655,Mississippi River
349,593.3636662213252,St.Lawrence
351,583.8031348401872,St.Lawrence
357,996.961756570371,Rhine
371,840.2121345077261,St.Lawrence
372,631.2977734963393,Loire
389,610.614285889032,Indus
390,610.614285889032,Indus
394,641.7440802585443,Krishna
397,514.6964705653614,Loire
398,514.6964705653614,Loire
401,919.7348399654247,Loire
404,806.1159995246957,St.Lawrence
407,804.1431707923554,Loire
409,579.2751980110755,Rhine
414,977.5751545077859,Loire
423,769.0278621575654,Mississippi River
424,769.0278621575654,Mississippi River
425,769.0278621575654,Mississippi River
426,769.0278621575654,Mississippi River
428,629.8672828017583,Loire
485,678.894652396245,Colorado River (Pacific Ocean)
486,507.8234207554929,Loire
491,722.1717121214987,Rhine
493,1117.1049000369005,Dniepr
494,606.7118286861333,Loire
502,566.9203209349573,Mississippi River
503,672.3173524339754,Colorado River (Pacific Ocean)
504,593.3636662213252,St.Lawrence
505,750.079253249941,Danube
506,748.2071230888941,Danube
515,799.791567614301,St.Lawrence
517,738.5839420938065,St.Lawrence
518,799.791567614301,St.Lawrence
519,799.791567614301,St.Lawrence
520,799.791567614301,St.Lawrence
521,799.791567614301,St.Lawrence
522,799.791567614301,St.Lawrence
523,799.791567614301,St.Lawrence
524,802.6463750932818,St.Lawrence
525,802.6463750932818,St.Lawrence
526,799.791567614301,St.Lawrence
527,799.791567614301,St.Lawrence
528,799.791567614301,St.Lawrence
529,799.791567614301,St.Lawrence
530,799.791567614301,St.Lawrence
531,799.791567614301,St.Lawrence
532,799.791567614301,St.Lawrence
533,799.791567614301,St.Lawrence
534,862.9358690648402,Mississippi River
538,705.5365403588113,Colorado River (Pacific Ocean)
541,778.7413436444692,Mississippi River
542,778.7413436444692,Mississippi River
543,778.7413436444692,Mississippi River
544,778.7413436444692,Mississippi River
545,778.7413436444692,Mississippi River
546,778.7413436444692,Mississippi River
547,778.7413436444692,Mississippi River
548,763.5577346927984,Mississippi River
549,769.0278621575654,Mississippi River
550,778.7413436444692,Mississippi River
551,769.0278621575654,Mississippi River
552,790.3602919086126,Mississippi River
553,778.7413436444692,Mississippi River
554,778.7413436444692,Mississippi River
555,778.7413436444692,Mississippi River
556,778.7413436444692,Mississippi River
557,790.155897910594,Mississippi River
558,778.7413436444692,Mississippi River
559,769.0278621575654,Mississippi River
560,778.7413436444692,Mississippi River
561,781.6643377744366,Mississippi River
562,778.7413436444692,Mississippi River
563,778.7413436444692,Mississippi River
564,778.7413436444692,Mississippi River
565,778.7413436444692,Mississippi River
566,778.7413436444692,Mississippi River
567,789.8781915143516,Mississippi River
568,778.7413436444692,Mississippi River
569,796.489526575852,St.Lawrence
571,593.3636662213252,St.Lawrence
572,593.3636662213252,St.Lawrence
573,659.3796359000892,Mississippi River
574,593.3636662213252,St.Lawrence
575,519.9972487543463,Neva
576,823.5140026578547,Loire
590,623.3465990990065,Mississippi River
591,755.8577740130596,Mississippi River
613,756.3381193610024,Mississippi River
619,728.866099279602,Neva
621,728.866099279602,Neva
622,728.866099279602,Neva
625,1009.2454429285514,Loire
626,757.5909895222451,St.Lawrence
627,757.5909895222451,St.Lawrence
628,759.4191467300485,St.Lawrence
629,745.6558519135624,St.Lawrence
630,759.0250177279772,St.Lawrence
632,641.7440802585443,Krishna
644,504.17451080981556,St.Lawrence
645,675.1085956745004,Colorado River (Pacific Ocean)
647,631.2977734963393,Loire
648,631.2977734963393,Loire
649,631.2977734963393,Loire
650,631.2977734963393,Loire
651,631.2977734963393,Loire
652,631.2977734963393,Loire
653,631.2977734963393,Loire
654,631.2977734963393,Loire
655,631.2977734963393,Loire
656,631.2977734963393,Loire
657,631.2977734963393,Loire
658,634.6484835031404,Loire
660,703.058874110135,Danube
663,548.0666651975544,Rhine
666,799.791567614301,St.Lawrence
667,799.791567614301,St.Lawrence
668,799.791567614301,St.Lawrence
669,799.791567614301,St.Lawrence
691,744.0034194355786,Rhine
701,789.8279795378614,St.Lawrence
702,789.8279795378614,St.Lawrence
707,520.8033780283768,Rhine
708,647.3418888101298,Elbe River
728,883.1702341908367,Mississippi River
735,587.4792923436102,Mississippi River
739,644.2878764426745,Loire
740,644.2878764426745,Loire
741,644.2878764426745,Loire
742,644.2878764426745,Loire
743,644.2878764426745,Loire
744,627.2405502600079,Loire
751,975.9798978380139,Loire
752,874.1812127113375,Loire
753,874.1812127113375,Loire
756,734.0866941782187,St.Lawrence
757,594.8145360135832,Mississippi River
758,849.3701975768821,Mississippi River
759,517.9717557503145,Loire
760,576.3672317247465,Loire
761,822.8197355500898,Loire
768,692.7029203692717,Rhine
769,693.4524538641829,Rhine
770,706.3135988145946,Danube
771,696.6517624434679,Rhine
774,507.8234207554929,Loire
781,507.4661427804633,St.Lawrence
782,512.2875167156623,St.Lawrence
783,512.2875167156623,St.Lawrence
784,512.2875167156623,St.Lawrence
785,509.402876767954,St.Lawrence
786,507.10779368191646,St.Lawrence
788,509.4010922716777,St.Lawrence
790,512.2875167156623,St.Lawrence
791,509.402876767954,St.Lawrence
792,509.402876767954,St.Lawrence
794,512.2875167156623,St.Lawrence
799,507.7067666838178,Loire
811,552.170689278982,Rhine
812,551.9237977697745,Rhine
813,849.3701975768821,Mississippi River
814,980.1647534703895,Rhine
829,559.4980902726473,Loire
830,516.9617033363241,Neva
831,644.2878764426745,Loire
832,507.8234207554929,Loire
834,778.7413436444692,Mississippi River
835,778.7413436444692,Mississippi River
836,748.329883609364,Mississippi River
849,644.2878764426745,Loire
850,554.5213721833511,Danube
851,548.554594810183,Danube
852,549.019572030612,Danube
853,549.0347019932594,Danube
854,551.1548196255236,Danube
855,557.9082500191676,Danube
856,556.242382387885,Danube
857,546.6028089659034,Danube
858,546.2186914511547,Danube
859,552.2302184795647,Danube
873,548.8390081883377,Danube
874,544.1672701868381,Danube
877,513.7869752781107,St.Lawrence
878,571.0771501885612,Danube
881,659.3796359000892,Mississippi River
882,588.4597069445603,St.Lawrence
883,874.1812127113375,Loire
893,849.901587725064,Columbia River
894,849.901587725064,Columbia River
895,849.901587725064,Columbia River
896,573.2271714667608,Loire
897,920.0555297269801,Loire
898,517.8222409492552,Loire
899,749.4054469206601,Loire
900,844.6619309407482,Loire
902,520.9029877332272,Colorado River (Pacific Ocean)
921,778.7413436444692,Mississippi River
925,583.1987613920121,Loire
926,583.1987613920121,Loire
928,657.9375870917606,Colorado River (Pacific Ocean)
929,806.1159995246957,St.Lawrence
930,806.1159995246957,St.Lawrence
931,580.1849002854312,St.Lawrence
932,1020.7750283481491,Mississippi River
933,694.0240709118161,Colorado River (Pacific Ocean)
934,823.5140026578547,Loire
935,823.5140026578547,Loire
936,631.2977734963393,Loire
937,1228.3816268475846,Loire
944,821.4811926176002,Danube
946,576.4495606172976,Loire
947,757.5909895222451,St.Lawrence
951,696.0807225019843,Mississippi River
952,703.9907616685932,Mississippi River
953,729.4644125792206,Mississippi River
954,722.1717121214987,Rhine
958,609.8637164483015,Mississippi River
962,583.1987613920121,Loire
964,523.3284303522164,Neva
966,849.3701975768821,Mississippi River
967,619.565744238739,Loire
972,631.2977734963393,Loire
973,631.2977734963393,Loire
977,659.3796359000892,Mississippi River
979,671.4009531987037,Colorado River (Pacific Ocean)
980,641.7440802585443,Krishna
984,1320.7454536884031,Danube
985,545.5694145341104,St.Lawrence
986,693.3100244507644,Rhine
987,1020.7750283481491,Mississippi River
988,1020.7750283481491,Mississippi River
989,1020.7750283481491,Mississippi River
990,1020.7750283481491,Mississippi River
991,1014.1793694321075,Mississippi River
992,1020.7750283481491,Mississippi River
993,1020.7750283481491,Mississippi River
994,1020.7750283481491,Mississippi River
995,1020.7750283481491,Mississippi River
997,883.2795753482718,Mississippi River
998,641.2667546742905,Mississippi River
999,641.1502511777632,Mississippi River
1014,734.0010881099292,Krishna
1015,787.9286666683017,Colorado River (Pacific Ocean)
1016,787.9286666683017,Colorado River (Pacific Ocean)
1017,543.1061424725609,Danube
1018,663.5953130130579,Mississippi River
1019,659.3796359000892,Mississippi River
1020,659.3796359000892,Mississippi River
1021,659.3796359000892,Mississippi River
1022,659.3796359000892,Mississippi River
1023,659.3796359000892,Mississippi River
1024,659.3796359000892,Mississippi River
1025,659.3796359000892,Mississippi River
1026,659.3796359000892,Mississippi River
1027,659.3796359000892,Mississippi River
1028,659.3796359000892,Mississippi River
1029,654.7700363147733,Mississippi River
1030,655.4667717930195,Mississippi River
1031,659.3796359000892,Mississippi River
