resource,model,condition,stratum,n_sites,RMSE,MAE,MASE,skill_vs_snaive
carbon,SARIMA,unweighted,all,4889,30.7378,25.7762,0.8567,-0.21585
carbon,SARIMA,unweighted,boundary,421,33.364,27.6954,0.8976,-0.24966
carbon,SARIMA,unweighted,non_boundary,4468,30.4904,25.5954,0.8528,-0.21266
carbon,SARIMA,gat_weighted,all,4889,30.7285,25.767,0.8563,-0.21441
carbon,SARIMA,gat_weighted,boundary,421,33.256,27.589,0.8935,-0.23293
carbon,SARIMA,gat_weighted,non_boundary,4468,30.4904,25.5954,0.8528,-0.21266
carbon,SARIMA,random_control,all,4889,31.638,26.6238,1.0023,-0.26629
carbon,SARIMA,random_control,boundary,421,35.7637,30.1532,1.0379,-0.30036
carbon,SARIMA,random_control,non_boundary,4468,31.2492,26.2913,0.999,-0.26308
carbon,SARIMA,random_control_calibrated,all,4889,30.7169,25.7035,0.8856,-0.17745
carbon,SARIMA,random_control_calibrated,boundary,421,34.0059,28.2739,0.9227,-0.18358
carbon,SARIMA,random_control_calibrated,non_boundary,4468,30.407,25.4613,0.8821,-0.17687
carbon,SARIMA,equal_weight_neighbour,all,4889,30.7324,25.7704,0.8566,-0.21473
carbon,SARIMA,equal_weight_neighbour,boundary,421,33.301,27.628,0.8964,-0.23671
carbon,SARIMA,equal_weight_neighbour,non_boundary,4468,30.4904,25.5954,0.8528,-0.21266
carbon,xLSTM,unweighted,all,4889,34.1437,27.8913,0.9149,-0.22737
carbon,xLSTM,unweighted,boundary,421,38.6736,32.0978,0.9877,-0.27689
carbon,xLSTM,unweighted,non_boundary,4468,33.7169,27.4949,0.908,-0.22271
carbon,xLSTM,gat_weighted,all,4889,34.1329,27.8787,0.9144,-0.22617
carbon,xLSTM,gat_weighted,boundary,421,38.5473,31.9517,0.9823,-0.26292
carbon,xLSTM,gat_weighted,non_boundary,4468,33.7169,27.4949,0.908,-0.22271
carbon,xLSTM,random_control,all,4889,35.6489,29.586,1.1459,-0.48489
carbon,xLSTM,random_control,boundary,421,40.8246,34.1115,1.1303,-0.49034
carbon,xLSTM,random_control,non_boundary,4468,35.1612,29.1596,1.1474,-0.48438
carbon,xLSTM,random_control_calibrated,all,4889,34.4351,28.3535,1.0032,-0.29496
carbon,xLSTM,random_control_calibrated,boundary,421,39.1409,32.5287,1.0178,-0.30301
carbon,xLSTM,random_control_calibrated,non_boundary,4468,33.9917,27.9601,1.0019,-0.2942
carbon,xLSTM,equal_weight_neighbour,all,4889,34.1343,27.8804,0.9145,-0.22632
carbon,xLSTM,equal_weight_neighbour,boundary,421,38.5643,31.9719,0.9839,-0.26469
carbon,xLSTM,equal_weight_neighbour,non_boundary,4468,33.7169,27.4949,0.908,-0.22271
carbon,TimesFM,unweighted,all,4889,29.1274,24.2332,0.7788,0.00465
carbon,TimesFM,unweighted,boundary,421,32.0836,26.5847,0.796,-0.01552
carbon,TimesFM,unweighted,non_boundary,4468,28.8489,24.0116,0.7772,0.00655
carbon,TimesFM,gat_weighted,all,4889,29.1087,24.2136,0.7782,0.00525
carbon,TimesFM,gat_weighted,boundary,421,31.8667,26.3579,0.7888,-0.00861
carbon,TimesFM,gat_weighted,non_boundary,4468,28.8489,24.0116,0.7772,0.00655
carbon,TimesFM,random_control,all,4889,31.0155,26.1653,1.0204,-0.36653
carbon,TimesFM,random_control,boundary,421,33.923,28.3475,0.9328,-0.32152
carbon,TimesFM,random_control,non_boundary,4468,30.7415,25.9596,1.0286,-0.37078
carbon,TimesFM,random_control_calibrated,all,4889,29.6292,24.8008,0.8705,-0.14381
carbon,TimesFM,random_control_calibrated,boundary,421,32.4209,26.871,0.8204,-0.12159
carbon,TimesFM,random_control_calibrated,non_boundary,4468,29.3662,24.6057,0.8752,-0.14591
carbon,TimesFM,equal_weight_neighbour,all,4889,29.1083,24.2134,0.7782,0.00526
carbon,TimesFM,equal_weight_neighbour,boundary,421,31.8621,26.3547,0.7895,-0.00843
carbon,TimesFM,equal_weight_neighbour,non_boundary,4468,28.8489,24.0116,0.7772,0.00655
carbon,Nexus,unweighted,all,4889,27.045,22.5074,0.7279,0.04896
carbon,Nexus,unweighted,boundary,421,30.2697,25.2669,0.7835,-0.00631
carbon,Nexus,unweighted,non_boundary,4468,26.7412,22.2473,0.7227,0.05416
carbon,Nexus,gat_weighted,all,4889,27.0253,22.4882,0.7273,0.0501
carbon,Nexus,gat_weighted,boundary,421,30.0403,25.044,0.7764,0.00692
carbon,Nexus,gat_weighted,non_boundary,4468,26.7412,22.2473,0.7227,0.05416
carbon,Nexus,random_control,all,4889,28.7309,24.1178,0.9495,-0.27039
carbon,Nexus,random_control,boundary,421,32.0047,27.1686,0.9186,-0.25515
carbon,Nexus,random_control,non_boundary,4468,28.4225,23.8303,0.9524,-0.27182
carbon,Nexus,random_control_calibrated,all,4889,27.3578,22.7976,0.8035,-0.05856
carbon,Nexus,random_control_calibrated,boundary,421,30.45,25.5537,0.8048,-0.06692
carbon,Nexus,random_control_calibrated,non_boundary,4468,27.0664,22.5379,0.8034,-0.05777
carbon,Nexus,equal_weight_neighbour,all,4889,27.0264,22.4892,0.7274,0.05001
carbon,Nexus,equal_weight_neighbour,boundary,421,30.0528,25.0555,0.7779,0.00595
carbon,Nexus,equal_weight_neighbour,non_boundary,4468,26.7412,22.2473,0.7227,0.05416
water,SARIMA,unweighted,all,4889,37.4835,31.6864,0.7229,0.00918
water,SARIMA,unweighted,boundary,484,33.5318,28.2496,0.6366,0.17511
water,SARIMA,unweighted,non_boundary,4405,37.9177,32.064,0.7324,-0.00906
water,SARIMA,gat_weighted,all,4889,37.4718,31.6786,0.7227,0.00937
water,SARIMA,gat_weighted,boundary,484,33.4131,28.1716,0.6348,0.17707
water,SARIMA,gat_weighted,non_boundary,4405,37.9177,32.064,0.7324,-0.00906
water,SARIMA,random_control,all,4889,37.0551,31.4543,0.7182,0.00707
water,SARIMA,random_control,boundary,484,32.5561,27.4501,0.6206,0.19299
water,SARIMA,random_control,non_boundary,4405,37.5494,31.8943,0.7289,-0.01336
water,SARIMA,random_control_calibrated,all,4889,37.2106,31.5235,0.7197,0.0093
water,SARIMA,random_control_calibrated,boundary,484,32.9689,27.7902,0.6274,0.18572
water,SARIMA,random_control_calibrated,non_boundary,4405,37.6766,31.9337,0.7299,-0.01008
water,SARIMA,equal_weight_neighbour,all,4889,37.4719,31.6786,0.7227,0.00937
water,SARIMA,equal_weight_neighbour,boundary,484,33.4141,28.1714,0.6348,0.17707
water,SARIMA,equal_weight_neighbour,non_boundary,4405,37.9177,32.064,0.7324,-0.00906
water,xLSTM,unweighted,all,4889,50.5867,42.1166,0.9415,-0.38199
water,xLSTM,unweighted,boundary,484,47.902,40.131,0.8945,-0.20256
water,xLSTM,unweighted,non_boundary,4405,50.8817,42.3348,0.9467,-0.4017
