resource,condition,N_regions,MAE,WMAPE_%,RMSE,Bias,Bias_%,MASE
carbon,gat_weighted,95,27.2359,10.671,33.2433,5.2771,1.5934,0.7816
carbon,random_control,95,29.3721,13.781,35.5306,1.0132,5.496,1.1517
carbon,unweighted,95,27.2311,10.6786,33.2128,5.497,1.6136,0.7782
electricity,gat_weighted,95,476.5298,14.2043,578.9036,-177.4041,4.5755,1.4093
electricity,random_control,95,946.3297,88.0265,1039.2897,424.2558,85.4238,6.1777
electricity,unweighted,95,460.0882,8.4368,562.1938,-200.1556,-2.0245,0.8377
water,gat_weighted,24,31.367,38.9692,39.549,3.9897,3.1886,0.6276
water,random_control,24,31.7796,39.1121,39.4199,4.6256,3.4707,0.6309
water,unweighted,24,31.3108,38.8707,39.5181,4.1879,3.5375,0.6257
