region_id,resource,n_folds,n_folds_ok,backtest_mape_mean,backtest_mape_std,backtest_rmse_mean
AUT,electricity,7,7,8.251769892261567,2.5221653157217068,538.857392641939
BEL,electricity,7,7,12.467338141162829,4.096553674600308,942.5434645337248
BGR,electricity,7,7,14.127879635803101,4.926919372942797,576.4308026069614
BIH,electricity,3,3,21.057020291926495,8.874881459048842,222.69006115460704
CHE,electricity,5,5,11.544544268136278,1.8521506036006357,861.6421878461181
CYP,electricity,5,5,9.184667692931631,2.7222054741168695,74.08072597351902
CZE,electricity,7,7,9.29893012848114,3.103542943251915,662.7094418190228
DEU,electricity,7,7,10.099427899248667,3.0372552192054276,4779.443337839236
DNK,electricity,7,7,10.024966567409182,2.033920733005752,317.9842848604952
ESP,electricity,7,7,5.781386795635692,1.4698543324859268,1512.2478364104095
EST,electricity,7,7,46.21776467188675,31.19334719999397,198.66349388059265
FIN,electricity,5,5,8.637415500816736,2.8681237191408657,671.1187047147246
FRA,electricity,7,7,10.202855420521349,4.862734979475804,4621.422128241187
GBR,electricity,7,7,7.443874008862396,2.094894012214108,1784.3811722394714
GRC,electricity,7,7,15.660345663715853,2.2742914689211386,711.8268785231119
HRV,electricity,3,3,14.099633097821973,2.0717906742443297,199.9172665995906
HUN,electricity,7,7,8.282389348440914,1.2112409626625824,280.62264041247477
IND|delhi,electricity,2,2,59.39695692355033,5.528071012819574,185.6171339440708
IND|gujarat,electricity,2,2,27.646631824647194,6.124694752344601,4033.3259583238796
IND|karnataka,electricity,2,2,11.214118512712451,4.587880422445215,1031.0770332429597
IND|kerala,electricity,2,2,37.209938462996476,18.739862169873973,270.8634235686138
IND|maharashtra,electricity,2,2,10.274800656494289,2.142628815066507,1683.1623560500657
IND|odisha,electricity,2,2,6.574918996041871,2.280221308397153,512.240541145205
IND|rajasthan,electricity,2,2,10.360693976007425,1.365629661939174,1246.9550708872328
IND|tamil nadu,electricity,2,2,11.429043331484714,2.2115885368902255,1517.6748150479789
IND|telangana,electricity,2,2,9.193711168800895,2.701315120287201,637.3842545822793
IND|uttar pradesh,electricity,2,2,7.478830236612458,0.30268054952133694,1298.3014093626434
IND|west bengal,electricity,2,2,4.478305202976895,0.5744607960411217,451.25845129831544
IRL,electricity,12,12,6.641175345153216,1.6271212285001606,176.62872282210517
ITA,electricity,6,6,7.997506547583712,2.4738085477363554,1945.8335413767193
LTU,electricity,7,7,22.32635700508393,11.714301495127854,117.04780269015643
LUX,electricity,4,4,13.386203964637053,1.2653958849897056,16.89419544532213
LVA,electricity,7,7,45.819686297970506,21.473335309881445,176.8080867559045
MDA,electricity,0,0,,,
MKD,electricity,4,4,14.099225112680823,2.057173250928079,97.41522609272612
MLT,electricity,3,3,10.196878580702954,2.583010835240445,35.775061430812585
NLD,electricity,7,7,8.04098436659864,2.7905574840692013,1015.0090572682932
NOR,electricity,7,7,7.153562479789973,2.1199979772883304,1075.8047207778632
POL,electricity,7,7,6.622016514846704,1.6729943946432662,1002.8956000121295
PRT,electricity,7,7,16.87116809413275,4.014941759407026,672.7352412161794
ROU,electricity,7,7,10.747203955434228,3.1039831628349677,552.327179430234
SRB,electricity,5,5,8.665560227509804,2.3161107499305484,290.68799932329273
SVK,electricity,7,7,8.174320511257946,1.788433571483816,242.30802233380285
SVN,electricity,6,6,15.410236856808822,7.008684607074458,202.05728760304348
SWE,electricity,7,7,6.14403437887593,1.4964496224107375,949.7906297708433
TUR,electricity,4,4,7.337914914928692,1.1419015239230519,3030.4695835370053
USA|alabama,electricity,21,21,7.5816859455000785,1.9747925150975396,1159.1301508797621
USA|arizona,electricity,21,21,7.560648800199964,4.1251981979172045,869.0575193699198
USA|arkansas,electricity,21,21,11.694714407737857,3.9567508242939513,695.2328480402955
USA|california,electricity,21,21,5.848081620532458,2.1173688071443553,1328.1693234178413
USA|colorado,electricity,21,21,5.279981471828389,1.6605846491776097,295.03862870087386
USA|connecticut,electricity,21,21,10.740556317926215,2.5457452677002554,403.0990052329492
USA|delaware,electricity,21,21,33.80004422584888,19.66615596983608,173.39712383699697
USA|florida,electricity,21,21,5.435164241939623,2.6250677807304177,1253.4895594081559
USA|georgia,electricity,21,21,8.11745798830524,3.024259487700755,1066.2171660706183
USA|idaho,electricity,21,21,13.239189755037682,5.158842073416209,202.30010588918736
USA|illinois,electricity,21,21,6.0204762753871295,1.7746416758287467,1179.1692241079475
USA|indiana,electricity,21,21,10.952034785340054,3.1318813316092267,1142.9471355625337
USA|iowa,electricity,21,21,8.134899633203007,1.8664767667118753,484.0717433990794
USA|kansas,electricity,21,21,10.450911385374495,2.6768165023182986,515.8053151120708
USA|kentucky,electricity,21,21,10.99989487565518,3.2704136267519375,870.1294549917894
USA|louisiana,electricity,21,21,7.259475293911947,2.256820362186899,708.472122406291
USA|maine,electricity,21,21,12.806335661043171,3.6946867415000115,169.42899319456285
USA|maryland,electricity,21,21,13.819694303983779,3.9363833099543606,541.9938925465028
USA|massachusetts,electricity,21,21,15.398644370243774,6.016470486625311,496.01278064977623
USA|michigan,electricity,21,21,9.091170785970895,2.548171792392728,1011.7411007163931
USA|minnesota,electricity,21,21,7.728154840419401,1.4704078645461336,442.1950291807979
USA|mississippi,electricity,21,21,12.659761794729976,3.4274744891277367,790.6667407585373
USA|missouri,electricity,21,21,10.17167796727037,3.645006193947331,836.7926996204193
