resource,region,model,RMSE
electricity,MKD,SARIMA,89.35149017135686
electricity,MKD,TimesFM,53.04545495371784
electricity,MKD,xLSTM,82.84623238859001
electricity,MLT,Nexus,17.66489498037411
electricity,MLT,SARIMA,31.710915984228727
electricity,MLT,TimesFM,18.37122220374573
electricity,MLT,xLSTM,23.683876376298695
electricity,NLD,Nexus,958.1575147424006
electricity,NLD,SARIMA,854.5805605284535
electricity,NLD,TimesFM,1079.3064334655892
electricity,NLD,xLSTM,1640.0508170730388
electricity,NOR,Nexus,1113.8714918755877
electricity,NOR,SARIMA,1275.9724777672664
electricity,NOR,TimesFM,1135.8902501503226
electricity,NOR,xLSTM,1413.5273946577395
electricity,POL,Nexus,717.1051876342192
electricity,POL,SARIMA,575.4052907827638
electricity,POL,TimesFM,640.7583755134165
electricity,POL,xLSTM,732.9543702098046
electricity,PRT,Nexus,315.83545875639635
electricity,PRT,SARIMA,460.45754111212136
electricity,PRT,TimesFM,390.8784699549472
electricity,PRT,xLSTM,531.2738816178381
electricity,ROU,Nexus,243.20335212296206
electricity,ROU,SARIMA,211.97157073579703
electricity,ROU,TimesFM,281.1500687763022
electricity,ROU,xLSTM,408.74225419688725
electricity,SRB,Nexus,163.2504016026258
electricity,SRB,SARIMA,148.6793654254276
electricity,SRB,TimesFM,175.39049747949508
electricity,SRB,xLSTM,229.62513199424984
electricity,SVK,Nexus,168.09105920106546
electricity,SVK,SARIMA,190.49869198417235
electricity,SVK,TimesFM,191.6633185213765
electricity,SVK,xLSTM,130.9205390292076
electricity,SVN,Nexus,179.03132059631415
electricity,SVN,SARIMA,346.8593142579237
electricity,SVN,TimesFM,204.3709525775404
electricity,SVN,xLSTM,182.32084698136376
electricity,SWE,Nexus,661.7085953219064
electricity,SWE,SARIMA,745.4169649375757
electricity,SWE,TimesFM,680.1876643809626
electricity,SWE,xLSTM,860.2668113626737
electricity,TUR,Nexus,1057.1972017356297
electricity,TUR,SARIMA,912.8049921229747
electricity,TUR,TimesFM,1173.3946478712362
electricity,TUR,xLSTM,3911.320056036031
electricity,USA|alabama,Nexus,661.2061251450334
electricity,USA|alabama,SARIMA,674.0818367355125
electricity,USA|alabama,TimesFM,654.4548630631313
electricity,USA|alabama,xLSTM,833.860478191399
electricity,USA|arizona,Nexus,330.87922493325976
electricity,USA|arizona,SARIMA,497.64225685968574
electricity,USA|arizona,TimesFM,432.6916684207311
electricity,USA|arizona,xLSTM,888.0670060792106
electricity,USA|arkansas,Nexus,650.7516639575334
electricity,USA|arkansas,SARIMA,612.472396116147
electricity,USA|arkansas,TimesFM,683.1676153551768
electricity,USA|arkansas,xLSTM,670.3692564788153
electricity,USA|california,Nexus,882.0482185813187
electricity,USA|california,SARIMA,1615.3721932624287
electricity,USA|california,TimesFM,1050.5909775554558
electricity,USA|california,xLSTM,1038.920395296246
electricity,USA|colorado,Nexus,258.4866715355539
electricity,USA|colorado,SARIMA,295.130937467329
electricity,USA|colorado,TimesFM,233.47938042969213
electricity,USA|colorado,xLSTM,437.21155074098806
electricity,USA|connecticut,Nexus,203.58269985765563
electricity,USA|connecticut,SARIMA,253.68421471123935
electricity,USA|connecticut,TimesFM,236.21419661866992
electricity,USA|connecticut,xLSTM,514.7855825852577
electricity,USA|delaware,Nexus,134.66040936980835
electricity,USA|delaware,SARIMA,105.39060051312558
electricity,USA|delaware,TimesFM,136.65166068385454
electricity,USA|delaware,xLSTM,142.25230070991876
electricity,USA|florida,Nexus,749.1199403558483
electricity,USA|florida,SARIMA,705.7297579961227
electricity,USA|florida,TimesFM,617.8126877875228
electricity,USA|florida,xLSTM,1078.0147743913958
electricity,USA|georgia,Nexus,1018.2151771454693
electricity,USA|georgia,SARIMA,704.5089600083962
electricity,USA|georgia,TimesFM,1139.5100285593194
electricity,USA|georgia,xLSTM,1125.6563152463184
electricity,USA|idaho,Nexus,213.84576453106087
electricity,USA|idaho,SARIMA,280.235071559056
electricity,USA|idaho,TimesFM,310.72278823307556
electricity,USA|idaho,xLSTM,215.15029269437184
electricity,USA|illinois,Nexus,976.4751735891972
electricity,USA|illinois,SARIMA,887.7810317797332
electricity,USA|illinois,TimesFM,1024.093295556644
electricity,USA|illinois,xLSTM,793.9080702500829
electricity,USA|indiana,Nexus,1185.9098588891848
electricity,USA|indiana,SARIMA,1227.648267196616
electricity,USA|indiana,TimesFM,1364.6538685522728
electricity,USA|indiana,xLSTM,1601.0501540144248
electricity,USA|iowa,Nexus,537.856850625461
electricity,USA|iowa,SARIMA,637.7599434227118
electricity,USA|iowa,TimesFM,563.152805384926
electricity,USA|iowa,xLSTM,692.3194477955664
electricity,USA|kansas,Nexus,479.7778167466518
electricity,USA|kansas,SARIMA,565.1216796352452
electricity,USA|kansas,TimesFM,588.0624056485833
electricity,USA|kansas,xLSTM,655.8376343553996
electricity,USA|kentucky,Nexus,657.1323683084639
electricity,USA|kentucky,SARIMA,927.537110468715
electricity,USA|kentucky,TimesFM,728.0636348963819
electricity,USA|kentucky,xLSTM,1033.6614046483623
electricity,USA|louisiana,Nexus,576.2821224678158
electricity,USA|louisiana,SARIMA,595.0709096571225
electricity,USA|louisiana,TimesFM,491.80950745437565
electricity,USA|louisiana,xLSTM,519.7211756506281
electricity,USA|maine,Nexus,206.52659962416317
electricity,USA|maine,SARIMA,201.70368943829004
electricity,USA|maine,TimesFM,196.61234103066244
electricity,USA|maine,xLSTM,234.14289553324667
electricity,USA|maryland,Nexus,351.7482687353854
electricity,USA|maryland,SARIMA,399.9902247383926
electricity,USA|maryland,TimesFM,341.09917735719705
electricity,USA|maryland,xLSTM,468.34440475537406
electricity,USA|massachusetts,Nexus,222.8416408325612
electricity,USA|massachusetts,SARIMA,290.9749079608733
electricity,USA|massachusetts,TimesFM,269.0517107242449
electricity,USA|massachusetts,xLSTM,431.4222683076636
