region_id,resource,model,timestamp,value
DEU,electricity,SARIMA,2026-04-01,34928.484806658285
DNK,electricity,SARIMA,2025-05-01,2233.628754952586
DNK,electricity,SARIMA,2025-06-01,1757.9335331676934
DNK,electricity,SARIMA,2025-07-01,1980.3569021896822
DNK,electricity,SARIMA,2025-08-01,1751.1328105451448
DNK,electricity,SARIMA,2025-09-01,1716.071558762363
DNK,electricity,SARIMA,2025-10-01,2465.5047018101473
DNK,electricity,SARIMA,2025-11-01,2496.3608331085197
DNK,electricity,SARIMA,2025-12-01,3113.2363779754783
DNK,electricity,SARIMA,2026-01-01,3301.856530861389
DNK,electricity,SARIMA,2026-02-01,2784.718543441009
DNK,electricity,SARIMA,2026-03-01,2892.6776257316124
DNK,electricity,SARIMA,2026-04-01,2130.4425716558912
ESP,electricity,SARIMA,2025-05-01,19988.98883061997
ESP,electricity,SARIMA,2025-06-01,19946.1129183337
ESP,electricity,SARIMA,2025-07-01,22593.787413124985
ESP,electricity,SARIMA,2025-08-01,22172.68007978819
ESP,electricity,SARIMA,2025-09-01,19812.65561925278
ESP,electricity,SARIMA,2025-10-01,19733.824736715687
ESP,electricity,SARIMA,2025-11-01,19776.86804039466
ESP,electricity,SARIMA,2025-12-01,21087.081286264536
ESP,electricity,SARIMA,2026-01-01,22235.333684028563
ESP,electricity,SARIMA,2026-02-01,20669.028104446625
ESP,electricity,SARIMA,2026-03-01,21724.524859313962
ESP,electricity,SARIMA,2026-04-01,19961.30799317551
EST,electricity,SARIMA,2025-05-01,532.1446249023417
EST,electricity,SARIMA,2025-06-01,537.5435131289154
EST,electricity,SARIMA,2025-07-01,450.7331170156043
EST,electricity,SARIMA,2025-08-01,462.1712483371363
EST,electricity,SARIMA,2025-09-01,491.4520645649335
EST,electricity,SARIMA,2025-10-01,490.01370528806274
EST,electricity,SARIMA,2025-11-01,512.8904236876474
EST,electricity,SARIMA,2025-12-01,581.4520644871303
EST,electricity,SARIMA,2026-01-01,620.4075522884814
EST,electricity,SARIMA,2026-02-01,539.2945256863926
EST,electricity,SARIMA,2026-03-01,563.215756286024
EST,electricity,SARIMA,2026-04-01,542.4965766857782
FIN,electricity,SARIMA,2025-05-01,6058.459182497052
FIN,electricity,SARIMA,2025-06-01,5818.966711278529
FIN,electricity,SARIMA,2025-07-01,6030.721341124823
FIN,electricity,SARIMA,2025-08-01,6098.382457494299
FIN,electricity,SARIMA,2025-09-01,6159.728035373779
FIN,electricity,SARIMA,2025-10-01,7371.2281505770525
FIN,electricity,SARIMA,2025-11-01,7763.081146167549
FIN,electricity,SARIMA,2025-12-01,8513.216695880568
FIN,electricity,SARIMA,2026-01-01,8984.04586694479
FIN,electricity,SARIMA,2026-02-01,8008.121044938577
FIN,electricity,SARIMA,2026-03-01,7113.88719733419
FIN,electricity,SARIMA,2026-04-01,6309.184762370614
FRA,electricity,SARIMA,2025-05-01,40034.62554179459
FRA,electricity,SARIMA,2025-06-01,37418.959684686924
FRA,electricity,SARIMA,2025-07-01,38796.6230343885
FRA,electricity,SARIMA,2025-08-01,37529.59355004759
FRA,electricity,SARIMA,2025-09-01,38141.781639012035
FRA,electricity,SARIMA,2025-10-01,41149.69481890203
FRA,electricity,SARIMA,2025-11-01,45591.01355052646
FRA,electricity,SARIMA,2025-12-01,50967.34593517607
FRA,electricity,SARIMA,2026-01-01,55199.69678305928
FRA,electricity,SARIMA,2026-02-01,47132.077873912036
FRA,electricity,SARIMA,2026-03-01,46896.59198706605
FRA,electricity,SARIMA,2026-04-01,40223.98919563989
GBR,electricity,SARIMA,2025-05-01,15477.750948464669
GBR,electricity,SARIMA,2025-06-01,15625.999530267585
GBR,electricity,SARIMA,2025-07-01,16416.483587920546
GBR,electricity,SARIMA,2025-08-01,17015.273029150838
GBR,electricity,SARIMA,2025-09-01,17365.36599109289
GBR,electricity,SARIMA,2025-10-01,19079.88645423875
GBR,electricity,SARIMA,2025-11-01,20595.478252983063
GBR,electricity,SARIMA,2025-12-01,22346.66930020865
GBR,electricity,SARIMA,2026-01-01,23733.512592802206
GBR,electricity,SARIMA,2026-02-01,20261.6564701302
GBR,electricity,SARIMA,2026-03-01,19505.377800298433
GBR,electricity,SARIMA,2026-04-01,18073.34748252242
GRC,electricity,SARIMA,2025-05-01,3500.6676086665525
GRC,electricity,SARIMA,2025-06-01,4338.6507179874325
GRC,electricity,SARIMA,2025-07-01,5572.518042591928
GRC,electricity,SARIMA,2025-08-01,5105.181471196476
GRC,electricity,SARIMA,2025-09-01,4324.783098041593
GRC,electricity,SARIMA,2025-10-01,4171.865111755244
GRC,electricity,SARIMA,2025-11-01,4231.317731666938
GRC,electricity,SARIMA,2025-12-01,4492.339734980758
GRC,electricity,SARIMA,2026-01-01,4773.157269999002
GRC,electricity,SARIMA,2026-02-01,4356.148339021625
GRC,electricity,SARIMA,2026-03-01,4129.14429802329
GRC,electricity,SARIMA,2026-04-01,3800.983727781996
HRV,electricity,SARIMA,2025-05-01,1136.1808878047304
HRV,electricity,SARIMA,2025-06-01,1009.9198638010529
HRV,electricity,SARIMA,2025-07-01,1171.9918545240942
HRV,electricity,SARIMA,2025-08-01,1166.4125652963262
HRV,electricity,SARIMA,2025-09-01,1062.413233271541
HRV,electricity,SARIMA,2025-10-01,1130.4577775422401
HRV,electricity,SARIMA,2025-11-01,1283.3893139365766
HRV,electricity,SARIMA,2025-12-01,1368.0889956404164
HRV,electricity,SARIMA,2026-01-01,1356.9133991618685
HRV,electricity,SARIMA,2026-02-01,1102.1098288743683
HRV,electricity,SARIMA,2026-03-01,1319.2584508605316
HRV,electricity,SARIMA,2026-04-01,1116.4075094659904
HUN,electricity,SARIMA,2025-05-01,2955.191340237626
HUN,electricity,SARIMA,2025-06-01,2973.6708176592138
HUN,electricity,SARIMA,2025-07-01,3354.2334918968886
HUN,electricity,SARIMA,2025-08-01,3220.3466052092317
HUN,electricity,SARIMA,2025-09-01,2970.4683622180664
HUN,electricity,SARIMA,2025-10-01,3029.5330382703783
HUN,electricity,SARIMA,2025-11-01,2958.505789329449
HUN,electricity,SARIMA,2025-12-01,2795.8205614018875
HUN,electricity,SARIMA,2026-01-01,3167.702365340456
HUN,electricity,SARIMA,2026-02-01,2897.3979437598045
HUN,electricity,SARIMA,2026-03-01,3040.2002284309706
HUN,electricity,SARIMA,2026-04-01,3274.196224323443
IND|delhi,electricity,SARIMA,2024-12-01,220.92369186312246
IND|delhi,electricity,SARIMA,2025-01-01,338.0170849384503
IND|delhi,electricity,SARIMA,2025-02-01,277.8384032074282
IND|delhi,electricity,SARIMA,2025-03-01,175.14450270114943
IND|delhi,electricity,SARIMA,2025-04-01,241.68908664280255
IND|delhi,electricity,SARIMA,2025-05-01,532.459188085179
IND|delhi,electricity,SARIMA,2025-06-01,568.0944190992484
IND|delhi,electricity,SARIMA,2025-07-01,389.3381281833796
IND|delhi,electricity,SARIMA,2025-08-01,471.115540378437
IND|delhi,electricity,SARIMA,2025-09-01,382.27266640127675
IND|delhi,electricity,SARIMA,2025-10-01,416.09493055236993
IND|delhi,electricity,SARIMA,2025-11-01,197.89953724079166
IND|gujarat,electricity,SARIMA,2024-12-01,11380.500054138853
IND|gujarat,electricity,SARIMA,2025-01-01,11779.182868645736
IND|gujarat,electricity,SARIMA,2025-02-01,10851.512973757684
IND|gujarat,electricity,SARIMA,2025-03-01,11355.465393508264
IND|gujarat,electricity,SARIMA,2025-04-01,13652.750349071375
IND|gujarat,electricity,SARIMA,2025-05-01,16261.60482374232
IND|gujarat,electricity,SARIMA,2025-06-01,14672.576090236733
IND|gujarat,electricity,SARIMA,2025-07-01,13438.07953192091
IND|gujarat,electricity,SARIMA,2025-08-01,15860.38852026028
IND|gujarat,electricity,SARIMA,2025-09-01,13675.921475494586
IND|gujarat,electricity,SARIMA,2025-10-01,14619.699321427972
IND|gujarat,electricity,SARIMA,2025-11-01,11861.862704554233
IND|karnataka,electricity,SARIMA,2024-12-01,7807.574039158407
IND|karnataka,electricity,SARIMA,2025-01-01,8882.182151942883
IND|karnataka,electricity,SARIMA,2025-02-01,8652.236109359732
IND|karnataka,electricity,SARIMA,2025-03-01,8974.431908269236
IND|karnataka,electricity,SARIMA,2025-04-01,8728.643394922852
IND|karnataka,electricity,SARIMA,2025-05-01,8503.153332759328
IND|karnataka,electricity,SARIMA,2025-06-01,8815.11171214148
IND|karnataka,electricity,SARIMA,2025-07-01,9097.293392680853
IND|karnataka,electricity,SARIMA,2025-08-01,9170.490325265273
IND|karnataka,electricity,SARIMA,2025-09-01,8673.791349265333
IND|karnataka,electricity,SARIMA,2025-10-01,8504.707395374702
IND|karnataka,electricity,SARIMA,2025-11-01,7964.660598257191
IND|kerala,electricity,SARIMA,2024-12-01,621.2412937826613
